fault_id,param_idx,elem_idx,bit_idx,accuracy,has_nan,has_inf,failure_type
28_6_17,28,6,17,97.9,False,False,no_effect
62_58513_8,62,58513,8,97.9,False,False,no_effect
26_142964_5,26,142964,5,97.9,False,False,no_effect
151_6_2,151,6,2,97.9,False,False,no_effect
7_95_13,7,95,13,97.9,False,False,no_effect
59_129_1,59,129,1,97.9,False,False,no_effect
143_50_26,143,50,26,97.9,False,False,no_effect
56_29439_17,56,29439,17,97.9,False,False,no_effect
1_10463_27,1,10463,27,97.9,False,False,no_effect
87_71_9,87,71,9,97.9,False,False,no_effect
55_344_6,55,344,6,97.9,False,False,no_effect
23_97_6,23,97,6,97.9,False,False,no_effect
91_352_16,91,352,16,97.9,False,False,no_effect
11_186_29,11,186,29,97.9,False,False,no_effect
137_31_24,137,31,24,97.9,False,False,no_effect
20_36178_18,20,36178,18,97.9,False,False,no_effect
92_12601_4,92,12601,4,97.9,False,False,no_effect
11_169_14,11,169,14,97.9,False,False,no_effect
74_20916_14,74,20916,14,97.9,False,False,no_effect
25_389_17,25,389,17,97.9,False,False,no_effect
116_23909_10,116,23909,10,97.9,False,False,no_effect
94_90_13,94,90,13,97.9,False,False,no_effect
68_4679_10,68,4679,10,97.9,False,False,no_effect
136_186_15,136,186,15,97.9,False,False,no_effect
41_118_24,41,118,24,97.9,False,False,no_effect
69_163_14,69,163,14,97.9,False,False,no_effect
83_14_14,83,14,14,97.9,False,False,no_effect
8_20673_25,8,20673,25,98.0,False,False,no_effect
68_4337_13,68,4337,13,97.9,False,False,no_effect
145_735_20,145,735,20,97.9,False,False,no_effect
54_85909_31,54,85909,31,97.9,False,False,no_effect
101_164_29,101,164,29,97.9,False,False,no_effect
36_69436_8,36,69436,8,97.9,False,False,no_effect
63_190_16,63,190,16,97.9,False,False,no_effect
149_109_25,149,109,25,97.9,False,False,no_effect
92_14373_8,92,14373,8,97.9,False,False,no_effect
130_126_5,130,126,5,97.9,False,False,no_effect
12_28743_9,12,28743,9,97.9,False,False,no_effect
40_174_27,40,174,27,98.0,False,False,no_effect
16_98_24,16,98,24,98.0,False,False,no_effect
119_135_16,119,135,16,97.9,False,False,no_effect
141_2_7,141,2,7,97.9,False,False,no_effect
137_68_21,137,68,21,97.9,False,False,no_effect
28_75_27,28,75,27,97.9,False,False,no_effect
40_116_0,40,116,0,97.9,False,False,no_effect
67_512_11,67,512,11,97.9,False,False,no_effect
129_27_19,129,27,19,97.9,False,False,no_effect
129_155_12,129,155,12,97.9,False,False,no_effect
39_95_10,39,95,10,97.9,False,False,no_effect
138_102056_0,138,102056,0,97.9,False,False,no_effect
82_125_1,82,125,1,97.9,False,False,no_effect
28_92_19,28,92,19,97.9,False,False,no_effect
61_59_15,61,59,15,97.9,False,False,no_effect
145_80_5,145,80,5,97.9,False,False,no_effect
124_17_8,124,17,8,97.9,False,False,no_effect
32_31148_10,32,31148,10,97.9,False,False,no_effect
