fault_id,param_idx,elem_idx,bit_idx,accuracy,has_nan,has_inf,failure_type
0_93525_18,0,93525,18,97.9,False,False,no_effect
0_35614_21,0,35614,21,97.9,False,False,no_effect
1_553_5,1,553,5,97.9,False,False,no_effect
0_19769_14,0,19769,14,97.9,False,False,no_effect
1_156_13,1,156,13,97.9,False,False,no_effect
0_54377_26,0,54377,26,97.9,False,False,no_effect
1_555_29,1,555,29,97.9,False,False,no_effect
1_63_13,1,63,13,97.9,False,False,no_effect
1_398_1,1,398,1,97.9,False,False,no_effect
1_488_0,1,488,0,97.9,False,False,no_effect
1_305_24,1,305,24,97.9,False,False,no_effect
1_551_14,1,551,14,97.9,False,False,no_effect
1_224_17,1,224,17,97.9,False,False,no_effect
1_497_1,1,497,1,97.9,False,False,no_effect
1_344_25,1,344,25,97.9,False,False,no_effect
0_110166_29,0,110166,29,97.9,False,False,no_effect
0_81560_1,0,81560,1,97.9,False,False,no_effect
1_27_5,1,27,5,97.9,False,False,no_effect
1_138_29,1,138,29,97.9,False,False,no_effect
0_6590_16,0,6590,16,97.9,False,False,no_effect
1_335_13,1,335,13,97.9,False,False,no_effect
1_334_21,1,334,21,97.9,False,False,no_effect
1_284_26,1,284,26,97.9,False,False,no_effect
1_83_30,1,83,30,93.4,False,False,sdc_minor
0_98176_3,0,98176,3,97.9,False,False,no_effect
1_229_4,1,229,4,97.9,False,False,no_effect
0_98858_1,0,98858,1,97.9,False,False,no_effect
0_26130_1,0,26130,1,97.9,False,False,no_effect
0_31266_8,0,31266,8,97.9,False,False,no_effect
1_117_13,1,117,13,97.9,False,False,no_effect
1_262_23,1,262,23,97.9,False,False,no_effect
0_79415_7,0,79415,7,97.9,False,False,no_effect
0_40768_6,0,40768,6,97.9,False,False,no_effect
0_40888_24,0,40888,24,97.9,False,False,no_effect
1_203_4,1,203,4,97.9,False,False,no_effect
0_13356_19,0,13356,19,97.9,False,False,no_effect
0_104363_2,0,104363,2,97.9,False,False,no_effect
1_545_27,1,545,27,97.9,False,False,no_effect
1_70_21,1,70,21,97.9,False,False,no_effect
0_55057_31,0,55057,31,97.9,False,False,no_effect
0_56822_23,0,56822,23,97.9,False,False,no_effect
1_156_27,1,156,27,97.9,False,False,no_effect
0_96180_17,0,96180,17,97.9,False,False,no_effect
1_476_27,1,476,27,97.9,False,False,no_effect
1_330_15,1,330,15,97.9,False,False,no_effect
0_36559_28,0,36559,28,97.9,False,False,no_effect
0_98366_29,0,98366,29,97.9,False,False,no_effect
1_344_1,1,344,1,97.9,False,False,no_effect
1_332_11,1,332,11,97.9,False,False,no_effect
1_217_22,1,217,22,97.9,False,False,no_effect
1_348_17,1,348,17,97.9,False,False,no_effect
1_569_0,1,569,0,97.9,False,False,no_effect
