fault_id,param_idx,elem_idx,bit_idx,accuracy,has_nan,has_inf,failure_type
0_83305_31,0,83305,31,97.9,False,False,no_effect
1_84_19,1,84,19,97.9,False,False,no_effect
0_95549_20,0,95549,20,97.9,False,False,no_effect
1_43_0,1,43,0,97.9,False,False,no_effect
1_63_14,1,63,14,97.9,False,False,no_effect
1_70_23,1,70,23,97.9,False,False,no_effect
0_86917_30,0,86917,30,11.9,False,False,catastrophic_low_acc
1_114_22,1,114,22,97.9,False,False,no_effect
1_124_6,1,124,6,97.9,False,False,no_effect
0_21488_17,0,21488,17,97.9,False,False,no_effect
0_141195_12,0,141195,12,97.9,False,False,no_effect
1_187_4,1,187,4,97.9,False,False,no_effect
0_4883_1,0,4883,1,97.9,False,False,no_effect
1_151_13,1,151,13,97.9,False,False,no_effect
0_144597_16,0,144597,16,97.9,False,False,no_effect
1_167_9,1,167,9,97.9,False,False,no_effect
1_100_14,1,100,14,97.9,False,False,no_effect
1_34_29,1,34,29,97.7,False,False,sdc_minor
0_104014_23,0,104014,23,97.9,False,False,no_effect
0_62621_10,0,62621,10,97.9,False,False,no_effect
0_116974_10,0,116974,10,97.9,False,False,no_effect
0_38325_30,0,38325,30,11.9,False,False,catastrophic_low_acc
1_10_14,1,10,14,97.9,False,False,no_effect
1_59_4,1,59,4,97.9,False,False,no_effect
1_94_14,1,94,14,97.9,False,False,no_effect
0_54204_23,0,54204,23,97.9,False,False,no_effect
1_120_29,1,120,29,97.9,False,False,no_effect
0_10460_20,0,10460,20,97.9,False,False,no_effect
0_136674_17,0,136674,17,97.9,False,False,no_effect
1_148_11,1,148,11,97.9,False,False,no_effect
1_167_24,1,167,24,97.9,False,False,no_effect
1_150_4,1,150,4,97.9,False,False,no_effect
1_96_14,1,96,14,97.9,False,False,no_effect
1_90_22,1,90,22,97.9,False,False,no_effect
1_123_0,1,123,0,97.9,False,False,no_effect
0_115316_10,0,115316,10,97.9,False,False,no_effect
0_20208_17,0,20208,17,97.9,False,False,no_effect
0_39384_11,0,39384,11,97.9,False,False,no_effect
0_94954_7,0,94954,7,97.9,False,False,no_effect
0_108688_21,0,108688,21,97.9,False,False,no_effect
0_126226_30,0,126226,30,12.2,False,False,catastrophic_low_acc
1_53_10,1,53,10,97.9,False,False,no_effect
1_5_15,1,5,15,97.9,False,False,no_effect
0_33524_10,0,33524,10,97.9,False,False,no_effect
0_134386_2,0,134386,2,97.9,False,False,no_effect
0_14656_10,0,14656,10,97.9,False,False,no_effect
1_46_25,1,46,25,98.0,False,False,no_effect
0_74305_5,0,74305,5,97.9,False,False,no_effect
0_117755_30,0,117755,30,12.2,False,False,catastrophic_low_acc
1_43_14,1,43,14,97.9,False,False,no_effect
1_153_9,1,153,9,97.9,False,False,no_effect
0_133904_16,0,133904,16,97.9,False,False,no_effect
0_89829_29,0,89829,29,97.9,False,False,no_effect
0_60244_24,0,60244,24,97.9,False,False,no_effect
1_33_6,1,33,6,97.9,False,False,no_effect
0_53044_26,0,53044,26,97.9,False,False,no_effect
0_25244_11,0,25244,11,97.9,False,False,no_effect
1_157_2,1,157,2,97.9,False,False,no_effect
0_24429_30,0,24429,30,11.9,False,False,catastrophic_low_acc
0_141370_0,0,141370,0,97.9,False,False,no_effect
1_133_26,1,133,26,97.9,False,False,no_effect
1_11_27,1,11,27,97.9,False,False,no_effect
0_126385_24,0,126385,24,97.9,False,False,no_effect
1_150_6,1,150,6,97.9,False,False,no_effect
1_34_16,1,34,16,97.9,False,False,no_effect
1_59_5,1,59,5,97.9,False,False,no_effect
1_153_26,1,153,26,97.9,False,False,no_effect
1_48_0,1,48,0,97.9,False,False,no_effect
0_136980_7,0,136980,7,97.9,False,False,no_effect
0_98311_13,0,98311,13,97.9,False,False,no_effect
1_104_23,1,104,23,97.9,False,False,no_effect
0_40574_27,0,40574,27,97.9,False,False,no_effect
1_66_27,1,66,27,97.9,False,False,no_effect
1_156_17,1,156,17,97.9,False,False,no_effect
1_52_26,1,52,26,97.9,False,False,no_effect
1_45_23,1,45,23,97.9,False,False,no_effect
1_64_19,1,64,19,97.9,False,False,no_effect
1_180_25,1,180,25,97.9,False,False,no_effect
0_31217_14,0,31217,14,97.9,False,False,no_effect
1_179_10,1,179,10,97.9,False,False,no_effect
0_56218_25,0,56218,25,97.9,False,False,no_effect
1_140_3,1,140,3,97.9,False,False,no_effect
0_102001_0,0,102001,0,97.9,False,False,no_effect
0_38096_30,0,38096,30,11.9,False,False,catastrophic_low_acc
1_22_4,1,22,4,97.9,False,False,no_effect
1_56_23,1,56,23,97.9,False,False,no_effect
0_9897_24,0,9897,24,97.9,False,False,no_effect
1_157_18,1,157,18,97.9,False,False,no_effect
0_45946_31,0,45946,31,97.9,False,False,no_effect
1_2_12,1,2,12,97.9,False,False,no_effect
1_49_2,1,49,2,97.9,False,False,no_effect
0_44428_2,0,44428,2,97.9,False,False,no_effect
1_61_0,1,61,0,97.9,False,False,no_effect
0_22765_17,0,22765,17,97.9,False,False,no_effect
1_90_25,1,90,25,97.6,False,False,sdc_minor
1_150_12,1,150,12,97.9,False,False,no_effect
0_17987_5,0,17987,5,97.9,False,False,no_effect
1_185_22,1,185,22,97.9,False,False,no_effect
1_70_14,1,70,14,97.9,False,False,no_effect
0_119212_25,0,119212,25,97.9,False,False,no_effect
0_68447_11,0,68447,11,97.9,False,False,no_effect
1_129_6,1,129,6,97.9,False,False,no_effect
0_131902_18,0,131902,18,97.9,False,False,no_effect
1_29_16,1,29,16,97.9,False,False,no_effect
1_177_28,1,177,28,97.9,False,False,no_effect
1_144_30,1,144,30,11.9,False,False,catastrophic_low_acc
0_89040_29,0,89040,29,97.9,False,False,no_effect
1_150_1,1,150,1,97.9,False,False,no_effect
0_100315_14,0,100315,14,97.9,False,False,no_effect
0_82766_26,0,82766,26,97.9,False,False,no_effect
1_132_0,1,132,0,97.9,False,False,no_effect
1_63_18,1,63,18,97.9,False,False,no_effect
0_104577_21,0,104577,21,97.9,False,False,no_effect
0_145372_11,0,145372,11,97.9,False,False,no_effect
1_80_22,1,80,22,97.8,False,False,sdc_minor
0_70536_11,0,70536,11,97.9,False,False,no_effect
