fault_id,param_idx,elem_idx,bit_idx,accuracy,has_nan,has_inf,failure_type
0_24817_24,0,24817,24,97.9,False,False,no_effect
0_11199_21,0,11199,21,97.9,False,False,no_effect
0_10624_9,0,10624,9,97.9,False,False,no_effect
0_3362_26,0,3362,26,97.9,False,False,no_effect
1_79_28,1,79,28,97.9,False,False,no_effect
1_160_11,1,160,11,97.9,False,False,no_effect
0_8622_12,0,8622,12,97.9,False,False,no_effect
0_16587_0,0,16587,0,97.9,False,False,no_effect
1_127_31,1,127,31,97.9,False,False,no_effect
0_32339_15,0,32339,15,97.9,False,False,no_effect
0_31176_29,0,31176,29,97.9,False,False,no_effect
1_113_5,1,113,5,97.9,False,False,no_effect
0_16037_17,0,16037,17,97.9,False,False,no_effect
0_3205_11,0,3205,11,97.9,False,False,no_effect
0_3608_22,0,3608,22,97.9,False,False,no_effect
0_9527_2,0,9527,2,97.9,False,False,no_effect
1_84_5,1,84,5,97.9,False,False,no_effect
0_7136_26,0,7136,26,97.9,False,False,no_effect
0_10573_18,0,10573,18,97.9,False,False,no_effect
0_29841_23,0,29841,23,97.9,False,False,no_effect
0_6103_19,0,6103,19,97.9,False,False,no_effect
1_94_24,1,94,24,97.9,False,False,no_effect
0_28005_4,0,28005,4,97.9,False,False,no_effect
1_120_8,1,120,8,97.9,False,False,no_effect
0_17984_21,0,17984,21,97.9,False,False,no_effect
1_134_13,1,134,13,97.9,False,False,no_effect
0_3813_6,0,3813,6,97.9,False,False,no_effect
0_31697_18,0,31697,18,97.9,False,False,no_effect
1_155_20,1,155,20,97.9,False,False,no_effect
1_134_22,1,134,22,97.9,False,False,no_effect
0_32531_31,0,32531,31,97.9,False,False,no_effect
1_46_14,1,46,14,97.9,False,False,no_effect
1_49_0,1,49,0,97.9,False,False,no_effect
0_1571_29,0,1571,29,97.9,False,False,no_effect
0_13587_26,0,13587,26,97.9,False,False,no_effect
1_11_21,1,11,21,97.9,False,False,no_effect
1_143_13,1,143,13,97.9,False,False,no_effect
0_13185_18,0,13185,18,97.9,False,False,no_effect
1_17_19,1,17,19,97.9,False,False,no_effect
1_129_20,1,129,20,97.9,False,False,no_effect
0_7460_21,0,7460,21,97.9,False,False,no_effect
1_101_1,1,101,1,97.9,False,False,no_effect
0_12715_21,0,12715,21,97.9,False,False,no_effect
1_172_30,1,172,30,12.2,False,False,catastrophic_low_acc
1_9_8,1,9,8,97.9,False,False,no_effect
1_39_29,1,39,29,98.0,False,False,no_effect
1_118_26,1,118,26,97.6,False,False,sdc_minor
0_34149_19,0,34149,19,97.9,False,False,no_effect
1_142_1,1,142,1,97.9,False,False,no_effect
0_21739_22,0,21739,22,97.9,False,False,no_effect
0_9784_17,0,9784,17,97.9,False,False,no_effect
0_22226_24,0,22226,24,97.9,False,False,no_effect
0_25530_11,0,25530,11,97.9,False,False,no_effect
0_20203_20,0,20203,20,97.9,False,False,no_effect
0_17792_26,0,17792,26,97.9,False,False,no_effect
0_32574_15,0,32574,15,97.9,False,False,no_effect
1_115_19,1,115,19,97.9,False,False,no_effect
