fault_id,param_idx,elem_idx,bit_idx,accuracy,has_nan,has_inf,failure_type
1_145_29,1,145,29,97.9,False,False,no_effect
0_96_27,0,96,27,16.7,False,False,catastrophic_low_acc
0_35_28,0,35,28,8.9,False,False,catastrophic_low_acc
1_128_22,1,128,22,97.9,False,False,no_effect
1_90_27,1,90,27,97.9,False,False,no_effect
1_107_26,1,107,26,97.9,False,False,no_effect
1_7_1,1,7,1,97.9,False,False,no_effect
1_22_8,1,22,8,97.9,False,False,no_effect
1_62_23,1,62,23,97.9,False,False,no_effect
0_158_18,0,158,18,97.9,False,False,no_effect
0_100_8,0,100,8,97.9,False,False,no_effect
1_171_0,1,171,0,97.9,False,False,no_effect
1_132_29,1,132,29,97.9,False,False,no_effect
0_21_3,0,21,3,97.9,False,False,no_effect
1_166_6,1,166,6,97.9,False,False,no_effect
1_152_6,1,152,6,97.9,False,False,no_effect
1_144_30,1,144,30,11.9,True,False,catastrophic_nan_inf
1_15_7,1,15,7,97.9,False,False,no_effect
0_179_13,0,179,13,97.9,False,False,no_effect
0_143_31,0,143,31,97.9,False,False,no_effect
0_57_9,0,57,9,97.9,False,False,no_effect
1_160_19,1,160,19,97.9,False,False,no_effect
0_124_12,0,124,12,97.9,False,False,no_effect
0_17_0,0,17,0,97.9,False,False,no_effect
0_154_7,0,154,7,97.9,False,False,no_effect
0_63_13,0,63,13,97.9,False,False,no_effect
0_121_1,0,121,1,97.9,False,False,no_effect
1_100_3,1,100,3,97.9,False,False,no_effect
0_76_25,0,76,25,97.6,False,False,sdc_minor
1_47_15,1,47,15,97.9,False,False,no_effect
1_156_28,1,156,28,97.9,False,False,no_effect
0_110_9,0,110,9,97.9,False,False,no_effect
0_47_9,0,47,9,97.9,False,False,no_effect
0_43_12,0,43,12,97.9,False,False,no_effect
1_122_18,1,122,18,97.9,False,False,no_effect
1_170_6,1,170,6,97.9,False,False,no_effect
1_94_17,1,94,17,97.9,False,False,no_effect
1_98_6,1,98,6,97.9,False,False,no_effect
1_106_27,1,106,27,97.9,False,False,no_effect
0_7_18,0,7,18,97.9,False,False,no_effect
1_30_24,1,30,24,97.9,False,False,no_effect
0_148_19,0,148,19,97.9,False,False,no_effect
0_165_28,0,165,28,16.9,False,False,catastrophic_low_acc
0_90_8,0,90,8,97.9,False,False,no_effect
1_185_29,1,185,29,97.9,False,False,no_effect
1_2_10,1,2,10,97.9,False,False,no_effect
1_128_13,1,128,13,97.9,False,False,no_effect
1_180_24,1,180,24,97.9,False,False,no_effect
