fault_id,param_idx,elem_idx,bit_idx,accuracy,has_nan,has_inf,failure_type
7_67_9,7,67,9,97.9,False,False,no_effect
8_113962_0,8,113962,0,97.9,False,False,no_effect
4_29413_24,4,29413,24,97.9,False,False,no_effect
10_82755_2,10,82755,2,97.9,False,False,no_effect
1_136_22,1,136,22,97.9,False,False,no_effect
6_156_17,6,156,17,97.9,False,False,no_effect
5_69_17,5,69,17,97.9,False,False,no_effect
1_65_25,1,65,25,97.9,False,False,no_effect
7_172_15,7,172,15,97.9,False,False,no_effect
11_172_12,11,172,12,97.9,False,False,no_effect
8_88449_11,8,88449,11,97.9,False,False,no_effect
5_140_0,5,140,0,97.9,False,False,no_effect
10_2221_4,10,2221,4,97.9,False,False,no_effect
0_105_6,0,105,6,97.9,False,False,no_effect
8_27238_28,8,27238,28,97.9,False,False,no_effect
5_56_18,5,56,18,97.9,False,False,no_effect
4_12653_2,4,12653,2,97.9,False,False,no_effect
0_158_5,0,158,5,97.9,False,False,no_effect
0_152_13,0,152,13,97.9,False,False,no_effect
9_653_7,9,653,7,97.9,False,False,no_effect
11_30_5,11,30,5,97.9,False,False,no_effect
9_133_24,9,133,24,97.9,False,False,no_effect
10_48435_7,10,48435,7,97.9,False,False,no_effect
11_47_16,11,47,16,97.9,False,False,no_effect
4_30602_4,4,30602,4,97.9,False,False,no_effect
10_118867_17,10,118867,17,97.9,False,False,no_effect
6_177_20,6,177,20,97.9,False,False,no_effect
4_10614_4,4,10614,4,97.9,False,False,no_effect
4_4088_24,4,4088,24,97.9,False,False,no_effect
6_85_3,6,85,3,97.9,False,False,no_effect
4_17345_11,4,17345,11,97.9,False,False,no_effect
7_17_31,7,17,31,97.9,False,False,no_effect
3_402_11,3,402,11,97.9,False,False,no_effect
10_128989_6,10,128989,6,97.9,False,False,no_effect
2_70861_27,2,70861,27,97.9,False,False,no_effect
3_108_28,3,108,28,97.9,False,False,no_effect
11_66_6,11,66,6,97.9,False,False,no_effect
0_18_4,0,18,4,97.9,False,False,no_effect
9_745_16,9,745,16,97.9,False,False,no_effect
7_4_31,7,4,31,97.8,False,False,sdc_minor
2_85572_0,2,85572,0,97.9,False,False,no_effect
0_170_24,0,170,24,97.9,False,False,no_effect
4_9935_21,4,9935,21,97.9,False,False,no_effect
6_147_0,6,147,0,97.9,False,False,no_effect
8_128628_30,8,128628,30,11.9,False,False,catastrophic_low_acc
6_103_4,6,103,4,97.9,False,False,no_effect
8_59204_0,8,59204,0,97.9,False,False,no_effect
6_176_30,6,176,30,11.9,True,False,catastrophic_nan_inf
1_145_22,1,145,22,97.9,False,False,no_effect
5_174_19,5,174,19,97.9,False,False,no_effect
6_14_5,6,14,5,97.9,False,False,no_effect
5_136_21,5,136,21,97.9,False,False,no_effect
1_117_18,1,117,18,97.9,False,False,no_effect
10_53246_11,10,53246,11,97.9,False,False,no_effect
8_10310_24,8,10310,24,97.9,False,False,no_effect
10_50070_19,10,50070,19,97.9,False,False,no_effect
11_99_6,11,99,6,97.9,False,False,no_effect
10_94178_31,10,94178,31,97.9,False,False,no_effect
1_161_28,1,161,28,97.9,False,False,no_effect
11_48_8,11,48,8,97.9,False,False,no_effect
