fault_id,param_idx,elem_idx,bit_idx,accuracy,has_nan,has_inf,failure_type
1_3_0,1,3,0,97.9,False,False,no_effect
1_0_23,1,0,23,97.9,False,False,no_effect
0_1653_20,0,1653,20,97.9,False,False,no_effect
1_3_31,1,3,31,97.9,False,False,no_effect
1_9_5,1,9,5,97.9,False,False,no_effect
1_6_30,1,6,30,9.9,False,False,catastrophic_low_acc
0_1503_24,0,1503,24,97.9,False,False,no_effect
1_9_12,1,9,12,97.9,False,False,no_effect
0_1781_2,0,1781,2,97.9,False,False,no_effect
0_1019_5,0,1019,5,97.9,False,False,no_effect
1_8_29,1,8,29,97.9,False,False,no_effect
0_1835_28,0,1835,28,97.9,False,False,no_effect
0_987_15,0,987,15,97.9,False,False,no_effect
0_433_10,0,433,10,97.9,False,False,no_effect
0_216_27,0,216,27,97.9,False,False,no_effect
0_328_20,0,328,20,97.9,False,False,no_effect
1_4_14,1,4,14,97.9,False,False,no_effect
1_7_7,1,7,7,97.9,False,False,no_effect
0_1889_31,0,1889,31,97.9,False,False,no_effect
0_1629_21,0,1629,21,97.9,False,False,no_effect
0_1908_4,0,1908,4,97.9,False,False,no_effect
1_6_24,1,6,24,97.9,False,False,no_effect
1_3_14,1,3,14,97.9,False,False,no_effect
1_1_18,1,1,18,97.9,False,False,no_effect
0_228_5,0,228,5,97.9,False,False,no_effect
0_1173_23,0,1173,23,97.9,False,False,no_effect
0_1747_20,0,1747,20,97.9,False,False,no_effect
1_9_0,1,9,0,97.9,False,False,no_effect
1_0_12,1,0,12,97.9,False,False,no_effect
1_6_20,1,6,20,97.9,False,False,no_effect
1_2_14,1,2,14,97.9,False,False,no_effect
0_809_0,0,809,0,97.9,False,False,no_effect
1_5_9,1,5,9,97.9,False,False,no_effect
1_2_18,1,2,18,97.9,False,False,no_effect
0_1529_2,0,1529,2,97.9,False,False,no_effect
1_4_7,1,4,7,97.9,False,False,no_effect
1_9_30,1,9,30,10.7,False,False,catastrophic_low_acc
0_1013_18,0,1013,18,97.9,False,False,no_effect
1_0_21,1,0,21,97.9,False,False,no_effect
