fault_id,param_idx,elem_idx,bit_idx,accuracy,has_nan,has_inf,failure_type
0_78_21,0,78,21,97.9,False,False,no_effect
1_39_15,1,39,15,97.9,False,False,no_effect
0_139_17,0,139,17,97.9,False,False,no_effect
0_5_2,0,5,2,97.9,False,False,no_effect
0_139_18,0,139,18,97.9,False,False,no_effect
0_130_26,0,130,26,42.5,False,False,mission_failure
0_0_14,0,0,14,97.9,False,False,no_effect
0_58_27,0,58,27,19.4,False,False,catastrophic_low_acc
1_37_22,1,37,22,97.9,False,False,no_effect
1_57_24,1,57,24,98.0,False,False,no_effect
0_125_10,0,125,10,97.9,False,False,no_effect
0_57_6,0,57,6,97.9,False,False,no_effect
1_91_4,1,91,4,97.9,False,False,no_effect
1_30_23,1,30,23,97.9,False,False,no_effect
0_11_9,0,11,9,97.9,False,False,no_effect
0_109_21,0,109,21,97.9,False,False,no_effect
0_173_27,0,173,27,19.2,False,False,catastrophic_low_acc
0_170_19,0,170,19,97.9,False,False,no_effect
1_89_6,1,89,6,97.9,False,False,no_effect
1_127_23,1,127,23,97.9,False,False,no_effect
1_182_4,1,182,4,97.9,False,False,no_effect
0_38_9,0,38,9,97.9,False,False,no_effect
1_37_24,1,37,24,97.9,False,False,no_effect
1_184_30,1,184,30,11.9,True,False,catastrophic_nan_inf
0_28_27,0,28,27,19.9,False,False,catastrophic_low_acc
1_37_5,1,37,5,97.9,False,False,no_effect
1_32_11,1,32,11,97.9,False,False,no_effect
1_90_20,1,90,20,97.9,False,False,no_effect
1_108_30,1,108,30,9.7,False,False,catastrophic_low_acc
1_154_21,1,154,21,97.9,False,False,no_effect
0_167_15,0,167,15,97.9,False,False,no_effect
1_107_31,1,107,31,97.9,False,False,no_effect
1_136_14,1,136,14,97.9,False,False,no_effect
1_21_26,1,21,26,33.3,False,False,mission_failure
0_179_5,0,179,5,97.9,False,False,no_effect
0_92_0,0,92,0,97.9,False,False,no_effect
0_4_23,0,4,23,98.1,False,False,no_effect
1_34_7,1,34,7,97.9,False,False,no_effect
0_89_23,0,89,23,97.9,False,False,no_effect
0_75_29,0,75,29,18.2,False,False,catastrophic_low_acc
0_141_26,0,141,26,77.9,False,False,sdc_significant
0_53_14,0,53,14,97.9,False,False,no_effect
0_191_8,0,191,8,97.9,False,False,no_effect
0_178_9,0,178,9,97.9,False,False,no_effect
1_187_1,1,187,1,97.9,False,False,no_effect
1_95_3,1,95,3,97.9,False,False,no_effect
0_169_4,0,169,4,97.9,False,False,no_effect
1_152_10,1,152,10,97.9,False,False,no_effect
0_37_23,0,37,23,97.9,False,False,no_effect
0_20_15,0,20,15,97.9,False,False,no_effect
0_3_26,0,3,26,65.4,False,False,sdc_significant
0_46_30,0,46,30,98.0,False,False,no_effect
0_191_19,0,191,19,97.9,False,False,no_effect
1_105_21,1,105,21,97.9,False,False,no_effect
1_165_0,1,165,0,97.9,False,False,no_effect
1_28_9,1,28,9,97.9,False,False,no_effect
0_164_2,0,164,2,97.9,False,False,no_effect
0_128_10,0,128,10,97.9,False,False,no_effect
0_101_27,0,101,27,20.1,False,False,mission_failure
1_141_16,1,141,16,97.9,False,False,no_effect
1_181_14,1,181,14,97.9,False,False,no_effect
1_40_17,1,40,17,97.9,False,False,no_effect
0_133_24,0,133,24,98.0,False,False,no_effect
0_190_13,0,190,13,97.9,False,False,no_effect
1_158_3,1,158,3,97.9,False,False,no_effect
0_100_11,0,100,11,97.9,False,False,no_effect
0_177_29,0,177,29,17.1,False,False,catastrophic_low_acc
1_80_25,1,80,25,97.9,False,False,no_effect
1_42_3,1,42,3,97.9,False,False,no_effect
1_165_27,1,165,27,97.9,False,False,no_effect
0_69_6,0,69,6,97.9,False,False,no_effect
0_19_23,0,19,23,97.9,False,False,no_effect
1_7_15,1,7,15,97.9,False,False,no_effect
1_41_6,1,41,6,97.9,False,False,no_effect
0_54_0,0,54,0,97.9,False,False,no_effect
1_48_12,1,48,12,97.9,False,False,no_effect
0_61_17,0,61,17,97.9,False,False,no_effect
0_145_2,0,145,2,97.9,False,False,no_effect
1_11_3,1,11,3,97.9,False,False,no_effect
1_23_19,1,23,19,97.9,False,False,no_effect
0_91_18,0,91,18,97.9,False,False,no_effect
1_128_12,1,128,12,97.9,False,False,no_effect
1_100_22,1,100,22,97.9,False,False,no_effect
0_179_6,0,179,6,97.9,False,False,no_effect
1_104_6,1,104,6,97.9,False,False,no_effect
0_6_24,0,6,24,97.9,False,False,no_effect
1_150_2,1,150,2,97.9,False,False,no_effect
1_41_9,1,41,9,97.9,False,False,no_effect
1_20_5,1,20,5,97.9,False,False,no_effect
0_55_9,0,55,9,97.9,False,False,no_effect
0_128_21,0,128,21,97.9,False,False,no_effect
1_33_21,1,33,21,97.9,False,False,no_effect
1_92_27,1,92,27,97.9,False,False,no_effect
0_182_24,0,182,24,97.9,False,False,no_effect
0_53_4,0,53,4,97.9,False,False,no_effect
0_145_31,0,145,31,98.0,False,False,no_effect
0_3_9,0,3,9,97.9,False,False,no_effect
1_140_5,1,140,5,97.9,False,False,no_effect
1_24_29,1,24,29,97.9,False,False,no_effect
1_43_18,1,43,18,97.9,False,False,no_effect
0_17_17,0,17,17,97.9,False,False,no_effect
1_90_5,1,90,5,97.9,False,False,no_effect
0_45_29,0,45,29,11.1,False,False,catastrophic_low_acc
1_121_16,1,121,16,97.9,False,False,no_effect
1_166_8,1,166,8,97.9,False,False,no_effect
0_93_18,0,93,18,97.9,False,False,no_effect
1_104_8,1,104,8,97.9,False,False,no_effect
1_93_20,1,93,20,97.9,False,False,no_effect
1_67_2,1,67,2,97.9,False,False,no_effect
0_189_15,0,189,15,97.9,False,False,no_effect
0_39_6,0,39,6,97.9,False,False,no_effect
1_96_10,1,96,10,97.9,False,False,no_effect
1_18_14,1,18,14,97.9,False,False,no_effect
1_118_5,1,118,5,97.9,False,False,no_effect
1_119_29,1,119,29,97.9,False,False,no_effect
1_27_5,1,27,5,97.9,False,False,no_effect
0_187_6,0,187,6,97.9,False,False,no_effect
1_110_12,1,110,12,97.9,False,False,no_effect
1_84_4,1,84,4,97.9,False,False,no_effect
1_87_31,1,87,31,97.9,False,False,no_effect
0_179_30,0,179,30,97.9,False,False,no_effect
0_71_29,0,71,29,20.2,False,False,mission_failure
0_139_9,0,139,9,97.9,False,False,no_effect
1_37_13,1,37,13,97.9,False,False,no_effect
1_145_2,1,145,2,97.9,False,False,no_effect
1_15_23,1,15,23,97.9,False,False,no_effect
1_121_13,1,121,13,97.9,False,False,no_effect
0_54_1,0,54,1,97.9,False,False,no_effect
1_69_16,1,69,16,97.9,False,False,no_effect
0_21_9,0,21,9,97.9,False,False,no_effect
0_70_25,0,70,25,98.0,False,False,no_effect
0_76_28,0,76,28,16.3,False,False,catastrophic_low_acc
1_134_13,1,134,13,97.9,False,False,no_effect
1_47_3,1,47,3,97.9,False,False,no_effect
1_42_12,1,42,12,97.9,False,False,no_effect
1_107_30,1,107,30,11.9,False,False,catastrophic_low_acc
1_137_10,1,137,10,97.9,False,False,no_effect
1_90_24,1,90,24,97.9,False,False,no_effect
0_143_12,0,143,12,97.9,False,False,no_effect
0_185_9,0,185,9,97.9,False,False,no_effect
1_170_20,1,170,20,97.9,False,False,no_effect
0_38_29,0,38,29,18.6,False,False,catastrophic_low_acc
0_127_20,0,127,20,97.9,False,False,no_effect
0_172_26,0,172,26,50.9,False,False,sdc_significant
1_133_0,1,133,0,97.9,False,False,no_effect
1_32_28,1,32,28,97.9,False,False,no_effect
0_9_13,0,9,13,97.9,False,False,no_effect
0_107_10,0,107,10,97.9,False,False,no_effect
1_55_22,1,55,22,97.9,False,False,no_effect
0_48_0,0,48,0,97.9,False,False,no_effect
1_93_1,1,93,1,97.9,False,False,no_effect
1_78_7,1,78,7,97.9,False,False,no_effect
1_166_29,1,166,29,97.9,False,False,no_effect
1_105_22,1,105,22,97.9,False,False,no_effect
1_138_27,1,138,27,97.9,False,False,no_effect
1_29_11,1,29,11,97.9,False,False,no_effect
1_109_23,1,109,23,97.9,False,False,no_effect
0_141_10,0,141,10,97.9,False,False,no_effect
1_97_18,1,97,18,97.9,False,False,no_effect
1_162_18,1,162,18,97.9,False,False,no_effect
0_22_6,0,22,6,97.9,False,False,no_effect
0_166_1,0,166,1,97.9,False,False,no_effect
