fault_id,param_idx,elem_idx,bit_idx,accuracy,has_nan,has_inf,failure_type
1_26_31,1,26,31,98.0,False,False,no_effect
0_116419_2,0,116419,2,97.9,False,False,no_effect
1_107_13,1,107,13,97.9,False,False,no_effect
0_119178_24,0,119178,24,97.9,False,False,no_effect
0_51264_30,0,51264,30,11.9,False,False,catastrophic_low_acc
0_91911_29,0,91911,29,97.9,False,False,no_effect
1_165_25,1,165,25,98.0,False,False,no_effect
0_98210_14,0,98210,14,97.9,False,False,no_effect
1_68_16,1,68,16,97.9,False,False,no_effect
1_106_15,1,106,15,97.9,False,False,no_effect
0_108673_2,0,108673,2,97.9,False,False,no_effect
0_6880_9,0,6880,9,97.9,False,False,no_effect
1_132_20,1,132,20,97.9,False,False,no_effect
1_43_27,1,43,27,97.9,False,False,no_effect
0_145683_25,0,145683,25,97.9,False,False,no_effect
0_103105_3,0,103105,3,97.9,False,False,no_effect
1_32_24,1,32,24,97.9,False,False,no_effect
0_105675_20,0,105675,20,97.9,False,False,no_effect
0_114662_14,0,114662,14,97.9,False,False,no_effect
0_33116_7,0,33116,7,97.9,False,False,no_effect
1_160_16,1,160,16,97.9,False,False,no_effect
0_84516_13,0,84516,13,97.9,False,False,no_effect
0_24448_1,0,24448,1,97.9,False,False,no_effect
1_2_9,1,2,9,97.9,False,False,no_effect
0_142520_5,0,142520,5,97.9,False,False,no_effect
1_6_8,1,6,8,97.9,False,False,no_effect
1_162_22,1,162,22,97.9,False,False,no_effect
0_62841_14,0,62841,14,97.9,False,False,no_effect
1_49_15,1,49,15,97.9,False,False,no_effect
1_66_3,1,66,3,97.9,False,False,no_effect
1_21_9,1,21,9,97.9,False,False,no_effect
0_27110_7,0,27110,7,97.9,False,False,no_effect
1_152_7,1,152,7,97.9,False,False,no_effect
0_37181_18,0,37181,18,97.9,False,False,no_effect
1_46_5,1,46,5,97.9,False,False,no_effect
0_129563_23,0,129563,23,97.9,False,False,no_effect
0_102445_6,0,102445,6,97.9,False,False,no_effect
1_5_26,1,5,26,97.9,False,False,no_effect
0_127537_4,0,127537,4,97.9,False,False,no_effect
0_110076_24,0,110076,24,97.9,False,False,no_effect
